id	authorName	authorHandle	isVerified	content	isTrue	topic	newsURL	warningType	analyticalWarning	emotionalWarning	likes	comments	reposts	timestamp	engagementLevel
f1	Jules N.	@jules_online	FALSE	Trump signed an order to help Duterte get out of ICC jail, and even said the Netherlands could face punishment.	FALSE	politics	https://tse2.mm.bing.net/th?id=OIP.VM98k-wpehEpXu9sea2tmQHaE9&pid=Api	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	54	2	4	17h	low
f2	Daily Pulse	@dailypulsefeed	FALSE	"The worst mistake we made in the White House" — JD Vance caught slamming Elon Musk in leaked audio.	FALSE	politics	https://tse4.mm.bing.net/th/id/OIP.6XqY_XiVNgRI71jN85nfSQHaFO?pid=Api	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	43	0	2	5h	low
f3	Ricky G	@rickyg_daily	FALSE	Biden just pardoned a Chinese national convicted of child pornography as part of a prisoner swap with China.	FALSE	politics	https://tse4.mm.bing.net/th?id=OIP.T0hbvZWHbsy9fDIqV-aGqAHaE8&pid=Api	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	1485	357	195	10h	high
f4	Chris J.	@realchrisj	FALSE	Leaked audio shows JD Vance saying Elon Musk was "the worst mistake" they made in the White House.	FALSE	politics	https://tse4.mm.bing.net/th/id/OIP.DRAdoPcwYMbZw1zCjq_OcwHaFb?pid=Api	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	45	3	2	1h	low
f5	Lena Talks	@lenatweets	FALSE	The CDC and FDA have identified a potential safety concern regarding strokes in individuals aged 65 and older following the Pfizer bivalent COVID-19 booster.	FALSE	health	https://tse4.mm.bing.net/th?id=OIP.Ygs0I3HZmtOXfXSJaVdcWAHaFD&pid=Api	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	32	5	0	19h	low
f6	Mike Observer	@mikeobserver	FALSE	A recent study has found that children whose mothers took acetaminophen during pregnancy are three times more likely to develop ADHD.	FALSE	health	https://tse3.mm.bing.net/th?id=OIP.GgMVHSp8inTMCZJsdj_pbQHaNK&pid=Api	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	2498	645	299	8h	high
f7	Truth Stream	@truthstream42	FALSE	RFK Jr. says COVID vaccines pose a serious risk to kids, linking them to strokes and neurological problems.	FALSE	health	https://tse2.mm.bing.net/th/id/OIP.PHvJoEOKooh3AdBpo4T2EgHaE8?pid=Api	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	85	8	5	12h	low
f8	Ricky G	@rickyg_daily	FALSE	RFK Jr. claims FDA ignored studies showing synthetic food dyes can cause cancer and neurological issues.	FALSE	health	https://tse2.mm.bing.net/th?id=OIP.KnZl6H4gTdRfXKKtw-OiggHaFj?pid=Api	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	1388	280	350	14h	high
f9	Daily Pulse	@dailypulsefeed	FALSE	Photo claims Trump was sitting on a pee pad during a talk show interview — turns out it was just his suit jacket.	FALSE	politics	https://tse4.mm.bing.net/th?id=OIP.PY1fYvEA53Xq3-b_KgCymwHaHa&pid=Api	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	90	21	4	19h	low
f10	Nina W.	@ninawrites	FALSE	Doctors warn mango can spike blood sugar and increase diabetes risk — especially in people who eat it regularly.	FALSE	health	https://x.com/RujutaDiwekar/status/1920370497176625159	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	11	3	5	12h	low
f11	Hakeem Jeffries	@RepJeffries	FALSE	About 1 in 5 U.S. veteran households rely on food stamps to get by. That's how bad it is.	FALSE	politics	https://www.politifact.com/factchecks/2025/may/12/hakeem-jeffries/veteran-households-food-stamps-snap/	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	4578	543	493	13h	high
f12	Lena Talks	@lenatweets	FALSE	Trump just suggested replacing Pride Month with Veterans Month to honor those who served.	FALSE	politics	https://www.politifact.com/factchecks/2025/apr/02/facebook-posts/no-trump-didnt-suggest-we-replace-pride-month-with/	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	13	6	3	7h	low
f13	Ricky G	@rickyg_daily	FALSE	Chicken and beef are loaded with estrogen — that's why so many men are going bald and losing muscle mass.	FALSE	health	https://www.politifact.com/factchecks/2024/mar/01/instagram-posts/fact-checking-misinformation-about-estrogen-in-mea/#:~:text=If%20Your%20Time%20is%20short,cause%20harm%2C%20an%20endocrinologist%20said.	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	15	3	4	6h	low
f14	Lena Talks	@lenatweets	FALSE	Netflix made a show based on a real UK stabbing — but changed the killer from a Black migrant to a white boy 'radicalized by red pill forums.'	FALSE	media	https://www.politifact.com/factchecks/2025/mar/21/ian-miles-cheong/netflix-hit-show-adolescence-was-not-based-on-sout/	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	7232	231	465	2d	high
f15	Jules N.	@jules_online	FALSE	A $7.20/hour McDonald's worker in Pennsylvania just saved the NYPD and is getting a $500,000 reward. People are calling him a hero. Name's Luigi Mangione.	FALSE	society	https://www.politifact.com/factchecks/2024/dec/11/threads-posts/no-a-mcdonalds-employee-isnt-getting-a-500000-rewa/	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	3284	381	1922	21h	high
f16	Nina W.	@ninawrites	FALSE	House candidate says 94% of the carbon emissions warming the planet are from nature — not humans.	FALSE	politics	https://www.politifact.com/factchecks/2010/oct/28/john-loughlin/house-candidate-loughlin-claims-94-percent-carbon-/	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	2461	86	636	17h	high
f17	Ricky G	@rickyg_daily	FALSE	McDonald's has added Xylitol to their ice cream!!! Xylitol is deadly to dogs!! Do not let your pups eat any type of ice cream from McDonald's!!	FALSE	animals	https://www.politifact.com/factchecks/2022/apr/14/facebook-posts/mcdonalds-didnt-add-xylitol-sugar-alcohol-toxic-do/	This post may contain misleading or unverified information. Consider checking multiple reliable sources before sharing.	1	0	29	0	3	14h	low
f18	Ricky G	@rickyg_daily	FALSE	Apple quietly removed International Women's Day from their calendar app. People are demanding they put it back.	FALSE	tech	https://www.politifact.com/factchecks/2025/mar/07/social-media/apple-didnt-remove-international-womens-day-from-i/	This post could be dangerous and misleading. Don't fall for manipulative lies!	0	1	3489	465	549	6h	high 